Name	Rank	FIRE DEPARTMENT	Date of Death	Location on Memorial
Walter J. Borek	Firefighter	YONKERS FIRE DEPARTMENT	12/6/1986	11 Top
Walter J. Higgins	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	10/17/1966	11 Bottom
Walter Mahoney	Battalion Chief	BUFFALO FIRE DEPARTMENT	5/4/1939	18 Top
Walter Peters	Firefighter	NEW ROCHELLE FIRE DEPARTMENT	10/3/1937	10 Bottom
Walter Sandberg	Captain	NEW YORK CITY FIRE DEPARTMENT	10/24/1941	17 Top
"Walter Schwinger, Jr."	Captain	TONAWANDA FIRE DEPARTMENT	11/12/1996	10 Top
Walter T. Clarke	Captain	NEW YORK CITY FIRE DEPARTMENT	10/25/1944	16 Top
Walter W. Chadwick	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/26/1950	15 Top
Warren H. Kenyon	Hoseman	ALBANY FIRE DEPARTMENT	5/6/1935	19 Top
Warren R. Ogburn	Firefighter	WHITE PLAINS FIRE DEPARTMENT	2/24/1993	10 Top
Wayland A. Estes	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/12/1892	14 Bottom
Wayne E. Smith	Captain	NEW YORK CITY FIRE DEPARTMENT	10/4/1994	10 Top
Wellington Hackett	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/15/1932	21 Top
Wilbur A. Ritter	Firefighter	SAYVILLE FIRE DEPARTMENT	8/28/2006	12 Bottom
Wilbur J. Dickinson	Lieutenant	NISKAYUNA DISTRICT NO. 1	2/10/1964	19 Bottom
William A. Canavan	Firefighter	YONKERS FIRE DEPARTMENT	4/29/1959	13 Top
William B. Brazell	Captain	SCHENECTADY FIRE DEPARTMENT	2/7/1966	11 Bottom
William Baldwin	Captain	NEW YORK CITY FIRE DEPARTMENT	01/20/1880	16 Bottom
William Boland	Division Chief	BUFFALO FIRE DEPARTMENT	1/6/1957	13 Top
"William Boon, Sr."	1st Assistant Chief	ROCHESTER FIRE DEPARTMENT	10/12/1902	13 Bottom
