Name	Rank	FIRE DEPARTMENT	Date of Death	Location on Memorial
Matthew A. Sheerin	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	11/19/1960	13 Top
Matthew Colpoys	Firefighter	BUFFALO FIRE DEPARTMENT	12/27/1983	12 Top
Matthew J. Belford	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/7/1957	13 Top
Matthew J. Porcari 	Captain 	OWEGO FIRE DEPARTMENT 	1/22/2013	13 Bottom
Matthew Lynch	Captain	NEW YORK CITY FIRE DEPARTMENT	3/30/1932	20 Top
Matthew Merzig	Firefighter	BUFFALO FIRE DEPARTMENT	8/28/1935	19 Top
Matthew W. Casey	Captain	TROY FIRE DEPARTMENT	10/28/1938	18 Top
Merle Lewis	Fire Police	WESTFIELD FIRE DEPARTMENT	2/12/1987	11 Top
Merritt Thorpe	Firefighter	VARNA FIRE DEPARTMENT	8/1/1962	12 Top
Michael A. Esposito	Captain	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	16 Top
Michael Berenz	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/22/1957	13 Top
Michael C. Fiore	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	18 Top
Michael C. Reilly	Probationary Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/27/2006	19 Top
Michael Carvet	Firefighter	NEW YORK CITY FIRE DEPARTMENT	01/01/1854	18 Bottom
Michael Conners	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/31/1882	15 Bottom
Michael D. Mullan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	13 Bottom
Michael D. Sowich 	Firefighter 	NEW HARTFORD FIRE DEPARTMENT 	3/2/2007	17 Top
Michael E. Gerrie	Lieutenant	BUFFALO FIRE DEPARTMENT	2/2/1988	11 Top
Michael E. Reilly	Firefighter	PATCHOGUE FIRE DEPARTMENT	12/23/1980	10 Bottom
Michael Emmett	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/26/1900	13 Bottom
Michael F. Cammarata	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	17 Top
Michael F. Logan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/5/1935	19 Top
Michael F. Lynch	Firefighter 	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	16 Bottom
Michael F. Lynch	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	15 Bottom
Michael Flynn	Firefighter	NEW YORK CITY FIRE DEPARTMENT	04/24/1854	18 Bottom
Michael G. Catanzaro	Firefighter	BUFFALO FIRE DEPARTMENT	12/27/1983	12 Top
Michael G. McGee	"Sergeant, Fire Patrol"	NYBFU/STATIONED WITH FDNY	2/14/1958	18 Bottom
Michael G. Montesi	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	12 Bottom
Michael Gillen	Engineer	TROY FIRE DEPARTMENT	06/22/1890	14 Bottom
Michael H. Haub	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	20 Bottom
Michael J. Berkery	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/14/1946	15 Top
Michael J. Chiapperini	Firefighter	WEST WEBSTER FIRE DEPARTMENT	12/24/2012	12 Top
Michael J. Elferis	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	18 Top
Michael J. Lyons	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	21 Bottom
Michael J. McNamara	Hoseman	ALBANY FIRE DEPARTMENT	11/21/1870	17 Bottom
Michael J. Mulvey	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/7/1937	18 Top
Michael J. Nolan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	05/03/1888	15 Bottom
Michael J. Otten	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	14 Bottom
Michael J. Shields	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	1/26/1962	12 Bottom
Michael K. Healy	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	13 Bottom
Michael Klein	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/7/1960	13 Top
Michael L. Austin	Firefighter	BUFFALO FIRE DEPARTMENT	12/27/1983	12 Top
Michael L. Seguin	Firefighter	BUFFALO FIRE DEPARTMENT	7/4/1997	10 Top
Michael Michelotti	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/12/1950	15 Top
Michael Moschenross	Firefighter	GLENWOOD FIRE DEPARTMENT	12/18/1989	11 Top
Michael N. Fodor	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	21 Top
Michael Neuner	Lieutenant	BREWSTER FIRE DEPARTMENT	6/22/1997	10 Top
Michael P. Esposito 	Firefighter 	BALDWIN FIRE DEPARTMENT 	5/18/2011	15 Top
Michael P. Ragusa	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	11 Bottom
Michael R. Tracy	"Patrolman, Fire Patrol"	SOUTH GLENS FALLS FIRE DEPARTMENT	2/14/1958	19 Top
Michael Rogers	Firefighter	SYRACUSE FIRE DEPARTMENT	10/12/1887	15 Bottom
Michael Sheehan	Firefighter	BUFFALO FIRE DEPARTMENT	12/9/1944	16 Top
Michael Snyder	Captain	NEW YORK CITY FIRE DEPARTMENT	05/16/1868	17 Bottom
Michael T. Quilty	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	16 Bottom
Michael T. Weinberg	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	14 Bottom
Michael V. Kiefer	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	19 Top
Michael W. Tarpey	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	10/1/1945	16 Top
Miles J. Rutyna	Firefighter	YONKERS FIRE DEPARTMENT	7/1/1957	16 Top
Miles L. Swoarby	Firefighter	NEW YORK CITY FIRE DEPARTMENT	08/27/1867	17 Bottom
Milford H. Ottmann	Captain	ROCKVILLE CENTRE FIRE DEPARTMENT	7/28/1933	10 Bottom
Milton F. Meisner	Firefighter	ATTICA FIRE DEPARTMENT	2/16/1922	10 Bottom
Mitchel E. Spoth	Firefighter	EAST AMHERST FIRE DEPARTMENT	1/11/1985	12 Top
Morris Graf	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/22/1945	15 Top
Mortimer A. Roberts	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/6/1901	13 Bottom
Moses W. Embler	Firefighter	NEWBURGH CITY FIRE DEPARTMENT	8/30/1904	21 Top
Myron F. VanBuskirk	Assistant Chief	BALDWINSVILLE FIRE DEPARTMENT	10/22/1954	14 Top
Nathan E. Olmstead	Chief	CAMDEN FIRE DEPARTMENT	5/21/1959	13 Top
Nathan Levine	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/22/1947	15 Top
Nathaniel Brown	Firefighter	NEW YORK CITY FIRE DEPARTMENT	09/25/1832	20 Bottom
Neil Hyland	Firefighter	MASSAPEQUA FIRE DEPARTMENT	3/2/1995	10 Top
Nelson L. Tuite	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/9/1945	15 Top
Nicholas P. Chiofalo	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	13 Bottom
Nicholas P. Rossomando	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	18 Top
Nickolas Marzen	Firefighter	HUNTINGTON MANOR FIRE DEPARTMENT	4/6/1930	10 Bottom
Norman J. Rowe	Captain	SYRACUSE FIRE DEPARTMENT	7/7/1989	11 Top
Norman Lester	Firefighter	SCHENECTADY FIRE DEPARTMENT	12/13/1960	12 Bottom
Norman Schunk	Fire Police	EAST EDEN FIRE DEPARTMENT	1/9/1993	10 Top
O. M. Wilson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	04/24/1854	18 Bottom
"Olin L. Blair, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/19/1964	11 Bottom
Orestes Hantjiles	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	11/28/1959	13 Top
Orio J. Palmer	Deputy Chief	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	14 Bottom
Oscar F. Dell	Firefighter	RUSH FIRE DEPARTMENT	1/7/1988	11 Top
Oscar H. Bloom	Firefighter	JAMESTOWN FIRE DEPARTMENT	6/13/1934	10 Bottom
Otto Lindemann	Ex-Captain	SPRING VALLEY FIRE DEPARTMENT	1/29/1928	13 Bottom
P. Joseph Connolly	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	8/22/1962	12 Top
Paavo J. Siivonen	Firefighter	ONEIDA FIRE DEPARTMENT	9/26/1963	11 Bottom
Packey Radigan	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	12/26/1952	14 Top
Patrick A. Dougherty	Firefighter	TROY FIRE DEPARTMENT	4/22/1934	19 Top
Patrick Clark	Firefighter	NEW YORK CITY FIRE DEPARTMENT	01/01/1880	16 Bottom
Patrick Conlin	Firefighter	NEW YORK CITY FIRE DEPARTMENT	06/09/1895	14 Bottom
Patrick Devlin	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/29/1940	17 Top
Patrick Heavey	Firefighter	ROCHESTER FIRE DEPARTMENT	11/21/1857	17 Bottom
Patrick J. Lyons	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	14 Bottom
Patrick J. Maloney	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/3/1933	20 Top
Patrick J. Quail	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/11/1902	13 Bottom
Patrick Lafferty	Firefighter	GREENVILLE FIRE DEPARTMENT	10/12/1993	10 Top
Patrick Lennon	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/1/1904	13 Bottom
Patrick McKeon	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	10/25/1938	18 Top
Paul A. MacMurray	Firefighter	HUDSON FALLS FIRE DEPARTMENT	8/27/1994	10 Top
Paul A. Tegtmeier	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	12 Bottom
Paul C. Wrigley	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/16/1958	13 Top
"Paul E. Caywood, Sr."	Assistant Chief	FABIUS FIRE DEPARTMENT	9/29/1990	11 Top
"Paul E. Ryf, Jr."	Chief	FRANKLIN SQUARE & MUNSON FIRE DEPARTMENT	3/23/1932	10 Bottom
Paul E. Savoir	Assistant Chief	CONSTABLE FIRE DEPARTMENT	4/30/1998	16 Bottom
Paul G. Ruback	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	14 Bottom
Paul J. Gill	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	15 Bottom
Paul J. Pansini	Fire Marshal	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	11 Bottom
Paul P. Shannon	Firefighter	YONKERS FIRE DEPARTMENT	11/20/1986	12 Top
Paul R. Brady	Firefighter	MELVERNE FIRE DEPARTMENT	7/30/2006	12 Bottom
Paul R. Cady	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/13/1960	13 Top
Paul R. Martini	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	10 Bottom
Paul T. Mitchell	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	15 Bottom
Paul Warhola 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	8/14/2009	21 Bottom
Paul Wishmeyer	Lieutenant	SAINT PAUL BOULEVARD FIRE DEPARTMENT	4/15/1960	19 Top
Peter A. Carey	Firefighter	KINGSTON FIRE DEPARTMENT	5/15/1937	18 Top
Peter A. Cervini	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/16/1964	11 Bottom
Peter A. Daly	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/1/1932	20 Top
Peter Bradley	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/18/1955	17 Top
Peter Dunn	Firefighter	TROY FIRE DEPARTMENT	12/16/1844	19 Bottom
Peter E. Farley	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/16/1949	15 Top
Peter Engel	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/5/1950	14 Top
Peter F. Bowen	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/24/1900	13 Bottom
Peter F. McLaughlin	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/8/1995	10 Top
Peter G. Peila	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/13/1957	13 Top
Peter H. Kahn	Firefighter	TRUMANSBURG FIRE DEPARTMENT	2/16/1997	10 Top
Peter H. Walsh	Firefighter	NEW YORK CITY FIRE DEPARTMENT	05/21/1866	17 Bottom
"Peter J. Brennan, Jr."	Captain	NEW YORK CITY FIRE DEPARTMENT	5/15/1963	11 Bottom
Peter J. Canelli	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	2/16/1987	11 Top
Peter J. Daley	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/18/1955	14 Top
Peter J. Dannhardt	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/4/1943	16 Top
Peter J. Harmon	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/24/1937	18 Top
Peter J. Moody	Firefighter	LYNBROOK FIRE DEPARTMENT	5/2/1963	11 Bottom
Peter McKeon	Firefighter	NEW YORK CITY FIRE DEPARTMENT	02/11/1895	14 Bottom
Peter S. Clark	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/1904	13 Bottom
Philip Eckel	Chief	SYRACUSE FIRE DEPARTMENT	06/01/1886	15 Bottom
Philip Fournier	Firefighter	VALLEY STREAM FIRE DEPARTMENT	9/19/1948	15 Top
Philip Laino	Firefighter	ROCKY POINT FIRE DEPARTMENT	1/1/1962	12 Bottom
"Phillip H. Baker, Sr."	Ex-Chief 	NORTH PATCHOGUE FIRE DEPARTMENT	12/16/1987	11 Top
Phillip Holton	Firefighter	NEW YORK CITY FIRE DEPARTMENT	07/29/1880	16 Bottom
Phillip J. Maus	Firefighter	NEW YORK CITY FIRE DEPARTMENT	09/14/1875	16 Bottom
Phillip W. Hublitz	Captain	NEW YORK CITY FIRE DEPARTMENT	11/13/1939	17 Top
Pierce English	Firefighter	NEW YORK CITY FIRE DEPARTMENT	01/07/1898	13 Bottom
Preston L. DeWitt	Firefighter	KINGSTON FIRE DEPARTMENT	5/15/1937	18 Top
"Ralph E. Hager, Jr."	Firefighter	SHORTSVILLE FIRE DEPARTMENT	9/19/1984	12 Top
Ralph J. Osterhout	Ex-Chief	BROADALBIN FIRE DEPARTMENT	8/10/1981	12 Top
Ralph Walston	Firefighter	OYSTER BAY FIRE DEPARTMENT	4/20/1928	13 Bottom
Randolph F. Belcher	Firefighter	HORSEHEADS FIRE DEPARTMENT	6/21/1991	11 Top
Raymond Abrams	Ex-Chief	LYNBROOK FIRE DEPARTMENT	6/30/1946	15 Top
Raymond Cauxx	Firefighter	MOHEGAN LAKE FIRE DEPARTMENT	4/19/1963	11 Bottom
Raymond Cosgrove	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/2/1942	17 Top
Raymond E. Bauder	Lieutenant	SYRACUSE FIRE DEPARTMENT	2/3/1939	17 Top
Raymond F. Farrell	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/21/1923	14 Bottom
Raymond F. Schiebel	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	3/7/1995	10 Top
Raymond H. Place	Firefighter	CATSKILL FIRE DEPARTMENT	1/4/1974	20 Bottom
Raymond J. Vandermark	Firefighter	CATSKILL FIRE DEPARTMENT	1/28/1973	19 Top
Raymond J. Whalen	Firefighter	BUFFALO FIRE DEPARTMENT	7/29/1985	12 Top
Raymond M. Sands	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/24/1935	19 Top
Raymond Nakovics	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/29/1998	10 Top
Raymond R. Mayr	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/2/1963	11 Bottom
Raymond Somers	Captain	UTICA FIRE DEPARTMENT	5/8/1953	14 Top
Rex E. Hoad	Firefighter	CAMERON FIRE DEPARTMENT	6/19/1996	10 Top
Rex E. Walter	Firefighter	NAPANOCH FIRE DEPARTMENT	2/10/2002	11 Bottom
Rex S. Green	Firefighter	PULASKI FIRE DEPARTMENT	8/28/1954	14 Top
Richard A. Prunty	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	11 Bottom
Richard Andrews	Probationary Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/26/1962	12 Bottom
Richard Bates	Firefighter	CORTLAND FIRE DEPARTMENT	1/1/1981	12 Top
Richard D. Buongiorne	Firefighter	KENDALL FIRE DEPARTMENT	1/10/2001	16 Bottom
"Richard D. Weisse, Sr. "	Firefighter 	ST. JAMES FIRE DEPARTMENT 	11/15/2014	17 Top
"Richard E. Gleason, Sr."	Firefighter	MOHEGAN LAKE FIRE DEPARTMENT	7/9/1993	10 Top
Richard Farrell	Lieutenant Fire Police	SOUTH SCHODACK FIRE DEPARTMENT	6/25/1997	10 Top
Richard G. Sale	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/19/1986	12 Top
Richard Gelke	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/15/1958	13 Top
Richard J. Joyce	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	12/21/1903	13 Bottom
Richard J. Serla	Chief	SYOSSET FIRE DEPARTMENT	7/1/1990	11 Top
"Richard J. Smith, III"	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/11/1982	12 Top
Richard M. Powers	Firefighter	HEMPSTEAD FIRE DEPARTMENT	6/7/1932	20 Top
Richard MacClave	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	11/26/1957	13 Top
Richard Marion	Firefighter	BUFFALO FIRE DEPARTMENT	02/02/1889	15 Bottom
Richard Murdock	Firefighter	SCHUYLER LAKE FIRE DEPARTMENT	1/1/1984	12 Top
Richard P. Gifford	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/26/1962	12 Bottom
Richard S. Ritchie	Firefighter	NEW YORK CITY FIRE DEPARTMENT	05/26/1836	20 Bottom
"Richard T. Muldowney, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	10 Bottom
Richard T. Sclafani	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/24/2005	20 Top
Richard VanWert	Chief	SCHAGHTICOKE FIRE DEPARTMENT	12/10/1999	17 Bottom
Richard W. Beck	Firefighter	OWEGO FIRE DEPARTMENT	7/9/1993	10 Top
Richard W. Schultz	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/31/1959	13 Top
Robert A. Knight 	Firefighter 	SAYVILLE FIRE DEPARTMENT 	5/1/2014	18 Top
Robert A. Meill	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/1/1961	12 Bottom
Robert A. Shea	Firefighter	BABYLON FIRE DEPARTMENT	1/23/1991	11 Top
Robert B. Gooding	Firefighter	FAIRVIEW FIRE DEPARTMENT	1/1/1983	12 Top
Robert B. Pagels	Driver	TONAWANDA FIRE DEPARTMENT	2/28/1928	16 Bottom
Robert Beddia	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/18/2007	21 Top
Robert C. Ayers	Past Chief	WEST CORNERS FIRE DEPARTMENT	9/12/1984	12 Top
Robert C. Davidson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/22/1951	14 Top
"Robert C. Pettit, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/15/1944	16 Top
Robert Calladine	1st Assistant Chief	NIAGARA FALLS FIRE DEPARTMENT	2/13/1954	14 Top
Robert Cordice	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	21 Bottom
Robert Curatolo	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	21 Top
Robert D. McMahon	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	17 Bottom
Robert E. Costa	Firefighter	FONDA FIRE DEPARTMENT	1/1/1981	12 Top
Robert E. Evans	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	20 Bottom
Robert E. Nagel	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	17 Bottom
Robert E. Parro	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	16 Bottom
Robert E. Rummel	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	10/16/1950	15 Top
Robert F. Cushing	Firefighter	PATCHOGUE FIRE DEPARTMENT	7/6/1988	11 Top
Robert F. Gilmer	Truckman	ALBANY FIRE DEPARTMENT	01/23/1895	14 Bottom
Robert F. Peters	Lieutenant	HASTINGS ON THE HUDSON FIRE DEPARTMENT	8/29/1998	10 Top
Robert F. Wallace	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	13 Bottom
Robert Fowler	Firefighter	SPENCERPORT FIRE DEPARTMENT	2/22/1997	10 Top
Robert G. Gates	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/14/1943	16 Top
Robert H. Dayton	Lieutenant	PORT WASHINGTON FIRE DEPARTMENT	11/26/1988	11 Top
Robert H. Hathaway	Chief	BRANCHPORT FIRE DEPARTMENT	1/8/1997	10 Top
Robert J. Cahill	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	2/17/1982	12 Top
Robert J. Cassidy	Ex-Assistant Chief 	SHUSHAN FIRE DEPARTMENT	10/4/1987	11 Top
Robert J. Crawford	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	19 Bottom
Robert J. Denney	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/11/1960	13 Top
Robert J. Foti	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	18 Bottom
Robert J. McCarthy	Lieutenant	SYRACUSE FIRE DEPARTMENT	7/12/1959	13 Top
Robert J. Minara	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	19 Bottom
Robert J. Moloney	Firefighter	INWOOD FIRE DEPARTMENT	4/27/1946	15 Top
"Robert King, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	19 Bottom
"Robert L. Goodrich, Sr."	Firefighter	CHESTER FIRE DEPARTMENT	1/27/1988	11 Top
Robert L. Hitchcock	Assistant Chief	BLENHEIM FIRE DEPARTMENT	3/13/1990	11 Top
Robert Linder	Firefighter	HOLBROOK FIRE DEPARTMENT	1/1/1957	13 Top
Robert Lucier	Firefighter	ALPLAUS FIRE DEPARTMENT	8/18/1991	11 Top
Robert M. Regan	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	15 Bottom
Robert Mahl	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/9/1941	17 Top
Robert McDougall	Firefighter	NEW YORK CITY FIRE DEPARTMENT	07/25/1883	15 Bottom
Robert Niebling	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	10/22/1965	11 Bottom
Robert Parks	Firefighter	RANDOLPH FIRE COMPANY	7/12/1935	10 Bottom
Robert Pitt	Past Chief	SPRING VALLEY FIRE DEPARTMENT	12/6/1964	20 Bottom
Robert R. Hurst	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/22/1961	12 Bottom
Robert Schneider	Firefighter	BUFFALO FIRE DEPARTMENT	01/23/1891	14 Bottom
Robert Sharp	Firefighter	CICERO FIRE DEPARTMENT	7/19/1963	11 Bottom
Robert T. Lane	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	21 Bottom
Robert T. Linnane	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	19 Bottom
Robert T. Smullen	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/19/1966	11 Bottom
Robert Ulrich	Firefighter	BUFFALO FIRE DEPARTMENT	1/1/1984	12 Top
Robert W. Hamilton	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	18 Bottom
Robert W. Johnston	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/31/1943	16 Top
Robert W. Lane	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/9/1943	16 Top
Robert W. McPadden	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	18 Top
"Robert W. Spear, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	10 Bottom
Robert Wintringham	Firefighter	NEW YORK CITY FIRE DEPARTMENT	08/24/1865	17 Bottom
Rodman G. Chrysler	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	6/26/1957	13 Top
Roger D. Snyder	Lieutenant	KINGSTON FIRE DEPARTMENT	11/19/1988	11 Top
Romano Petrucco	Firefighter	HOMER FIRE DEPARTMENT	12/14/1981	12 Top
Ronald G. Bazoge	Firefighter	MEDFORD FIRE DEPARTMENT	1/22/1982	12 Top
Ronald J. Keddie	Firefighter	SHERIDAN FIRE DEPARTMENT	6/27/2012	10 Top
Ronald P. Bucca	Fire Marshal	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	17 Bottom
Ronald T. Kerwin	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	21 Bottom
Ronald T. Kreamer	Firefighter	FRONTIER FIRE DEPARTMENT	8/13/2001	18 Bottom
"Ronald W. Svoboda, Jr."	Firefighter	CHENANGO FIRE DEPARTMENT	8/31/1987	11 Top
Ronald Wannamaker	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/1/1982	12 Top
Ronnie E. Gies	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	19 Bottom
Ronnie L. Henderson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	15 Bottom
Ross E. Huffer 	Firefighter 	NESCONSET FIRE DEPARTMENT 	2/27/2014	14 Top
Roy W. Dodge	Firefighter	BUFFALO FIRE DEPARTMENT	6/16/1949	20 Top
Ruben D. Correa	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	21 Top
Ruby Naturman	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/13/1956	13 Top
Rudolf Bethge	Firefighter	BUFFALO FIRE DEPARTMENT	12/11/1932	21 Top
Russell E. Dunham	Firefighter	HIGHLAND FIRE DEPARTMENT	7/16/1991	11 Top
Russell H. Dixon	Firefighter	ALDEN HOOK AND LADDER FIRE COMPANY	12/6/1984	12 Top
Russell W. Wilkinson	Firefighter	LANCASTER VOLUNTEER FIRE DEPARTMENT	4/21/1951	18 Bottom
Salvatore B. Calabro	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	20 Bottom
Salvatore N. Galasso	Firefighter	WHITE PLAINS FIRE DEPARTMENT	7/31/1954	14 Top
Salvatore Scarentino 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	3/21/2009	21 Top
Samuel A. Schiller	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/31/1954	14 Top
Samuel Christopher	Firefighter	BUFFALO FIRE DEPARTMENT	1/1/1984	12 Top
Samuel Crosley	Firefighter	ILION FIRE DEPARTMENT	4/17/1913	10 Bottom
Samuel D. Carbone	Firefighter	MASSENA FIRE DEPARTMENT	6/4/1987	11 Top
Samuel McHahon	Firefighter	NEW YORK CITY FIRE DEPARTMENT	08/08/1889	15 Bottom
Samuel P. Oitice	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	19 Bottom
Samuel R. Doherty	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/28/1949	15 Top
Santo Caracciolo	Firefighter	LONG BEACH FIRE DEPARTMENT	1/1/1956	13 Top
Scott A. Larsen	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	21 Top
